Dia/Sem;Dia;Local;Categoria;Dispositivo;Receita de produto;Receita de frete;Despesa de Frete;Qtd de pedidos;%Margem do produto;
Qui;19/jan;Região III;A;3;609.981;9.544;30.137;1028;12%;
Sex;20/jan;Região III;A;3;628.885;9.933;31.454;1040;10%;
Sáb;21/jan;Região III;A;3;624.051;9.521;29.542;947;7%;
Dom;22/jan;Região III;A;3;522.517;8.162;24.882;835;8%;
Seg;23/jan;Região III;A;3;629.556;10.515;32.523;1113;7%;
Ter;24/jan;Região III;A;3;624.992;10.897;33.436;1136;7%;
Qua;25/jan;Região III;A;3;617.623;9.927;30.299;1043;8%;
Qui;26/jan;Região III;A;3;654.749;10.235;30.934;1128;5%;
Sex;27/jan;Região III;A;3;609.775;9.250;27.599;920;6%;
Sáb;28/jan;Região III;A;3;492.726;7.820;23.319;859;7%;
Dom;29/jan;Região III;A;3;440.770;7.402;21.605;805;5%;
Seg;30/jan;Região III;A;3;640.125;10.636;32.722;1159;6%;
Ter;31/jan;Região III;A;3;766.237;12.775;40.253;1398;7%;
Qua;01/fev;Região III;A;3;808.169;13.019;40.647;1367;6%;
Qui;02/fev;Região III;A;3;680.055;10.801;35.439;1155;4%;
Sex;03/fev;Região III;A;3;570.659;9.335;29.702;1028;5%;
Sáb;04/fev;Região III;A;3;483.953;7.383;23.765;832;10%;
Dom;05/fev;Região III;A;3;484.146;8.195;25.475;893;9%;
Seg;06/fev;Região III;A;3;715.098;11.044;35.690;1201;9%;
Ter;07/fev;Região III;A;3;633.776;10.751;33.777;1140;10%;
Qua;08/fev;Região III;A;3;571.104;9.779;29.772;1028;10%;
Qui;09/fev;Região III;A;3;642.708;10.902;32.892;1101;12%;
Sex;10/fev;Região III;A;3;560.772;8.949;26.626;897;12%;
Sáb;11/fev;Região III;A;3;609.442;8.480;26.063;932;13%;
Dom;12/fev;Região III;A;3;631.131;9.423;28.997;997;12%;
Seg;13/fev;Região III;A;3;679.745;11.113;32.976;1155;12%;
Ter;14/fev;Região III;A;3;793.699;12.373;38.614;1282;12%;
Qua;15/fev;Região III;A;3;791.734;12.176;39.493;1301;12%;
Qui;16/fev;Região III;A;3;592.055;9.823;27.955;974;12%;
Sex;17/fev;Região III;A;3;630.214;9.159;27.651;897;13%;
Sáb;18/fev;Região III;A;3;470.957;7.843;21.655;712;13%;
Dom;19/fev;Região III;A;3;467.259;7.486;20.054;693;13%;
Seg;20/fev;Região III;A;3;615.534;10.331;29.923;993;14%;
Ter;21/fev;Região III;A;3;802.347;13.608;37.251;1301;13%;
Qua;22/fev;Região III;A;3;723.132;11.044;31.014;1082;13%;
Qui;23/fev;Região III;A;3;701.802;11.310;32.513;1124;12%;
Sex;24/fev;Região III;A;3;585.640;8.810;25.331;851;12%;
Sáb;25/fev;Região III;A;3;495.291;5.924;18.660;616;14%;
Dom;26/fev;Região III;A;3;398.142;5.345;14.825;535;12%;
Seg;27/fev;Região III;A;3;632.339;9.320;25.163;835;15%;
Ter;28/fev;Região III;A;3;490.505;7.886;22.693;766;13%;
Qua;01/mar;Região III;A;3;525.911;7.962;22.255;751;13%;
Qui;02/mar;Região III;A;3;533.593;8.725;23.141;832;12%;
Sex;03/mar;Região III;A;3;558.579;9.171;25.431;912;12%;
Sáb;04/mar;Região III;A;3;660.894;8.406;24.701;824;12%;
Dom;05/mar;Região III;A;3;429.265;6.230;17.401;616;13%;
Seg;06/mar;Região III;A;3;498.787;8.017;21.379;801;13%;
Ter;07/mar;Região III;A;3;615.118;10.682;28.594;1024;13%;
Qua;08/mar;Região III;A;3;638.208;10.700;29.670;1028;11%;
Qui;09/mar;Região III;A;3;608.919;9.613;27.409;951;12%;
Sex;10/mar;Região III;A;3;534.772;8.918;24.550;839;12%;
Sáb;11/mar;Região III;A;3;601.330;9.336;26.196;882;13%;
Dom;12/mar;Região III;A;3;343.415;6.194;16.860;612;12%;
Seg;13/mar;Região III;A;3;533.782;8.892;26.952;909;12%;
Qui;05/jan;Região IV;A;3;184.617;1.671;7.003;281;14%;
Sex;06/jan;Região IV;A;3;150.963;1.636;5.818;223;12%;
Sáb;07/jan;Região IV;A;3;161.792;1.690;6.449;239;14%;
Dom;08/jan;Região IV;A;3;157.471;1.533;6.632;262;11%;
Seg;09/jan;Região IV;A;3;178.046;2.163;6.757;250;15%;
Ter;10/jan;Região IV;A;3;173.218;2.099;6.119;246;14%;
Qua;11/jan;Região IV;A;3;187.672;2.077;7.212;281;11%;
Qui;12/jan;Região IV;A;3;202.905;2.554;8.448;300;15%;
Sex;13/jan;Região IV;A;3;153.896;2.198;5.771;223;14%;
Sáb;14/jan;Região IV;A;3;173.917;2.530;6.773;277;13%;
Dom;15/jan;Região IV;A;3;208.012;2.889;7.370;316;13%;
Seg;16/jan;Região IV;A;3;217.181;3.346;8.179;335;13%;
Ter;17/jan;Região IV;A;3;178.325;2.388;6.653;277;15%;
Qua;18/jan;Região IV;A;3;129.584;2.182;4.716;196;15%;
Qui;19/jan;Região IV;A;3;148.647;2.281;5.607;216;15%;
Sex;20/jan;Região IV;A;3;188.647;2.515;6.889;281;11%;
Sáb;21/jan;Região IV;A;3;124.882;1.708;4.685;193;9%;
Dom;22/jan;Região IV;A;3;160.025;2.060;5.864;219;11%;
Seg;23/jan;Região IV;A;3;162.733;2.591;5.987;246;9%;
Ter;24/jan;Região IV;A;3;176.151;2.280;6.315;266;12%;
Qua;25/jan;Região IV;A;3;174.045;2.844;7.738;285;12%;
Qui;26/jan;Região IV;A;3;195.310;2.811;6.742;281;10%;
Sex;27/jan;Região IV;A;3;178.669;2.198;6.292;246;10%;
Sáb;28/jan;Região IV;A;3;115.217;1.832;4.611;181;9%;
Dom;29/jan;Região IV;A;3;152.624;1.933;5.662;216;11%;
Seg;30/jan;Região IV;A;3;124.396;2.113;4.522;204;7%;
Ter;31/jan;Região IV;A;3;222.736;3.364;8.231;331;9%;
Qua;01/fev;Região IV;A;3;129.633;1.953;5.604;196;8%;
Qui;02/fev;Região IV;A;3;132.477;2.046;5.584;208;5%;
Sex;03/fev;Região IV;A;3;128.014;2.169;5.359;212;6%;
Sáb;04/fev;Região IV;A;3;87.888;1.482;4.251;154;10%;
Dom;05/fev;Região IV;A;3;151.664;2.358;5.631;239;11%;
Seg;06/fev;Região IV;A;3;174.570;2.624;6.167;277;10%;
Ter;07/fev;Região IV;A;3;114.487;2.099;5.054;204;11%;
Qua;08/fev;Região IV;A;3;118.393;1.987;4.818;181;12%;
Qui;09/fev;Região IV;A;3;124.594;2.199;5.049;208;12%;
Sex;10/fev;Região IV;A;3;117.422;1.792;4.487;177;15%;
Sáb;11/fev;Região IV;A;3;111.881;1.683;3.980;150;14%;
Dom;12/fev;Região IV;A;3;152.226;2.206;5.019;189;15%;
Seg;13/fev;Região IV;A;3;108.261;1.530;3.929;154;14%;
Ter;14/fev;Região IV;A;3;179.701;2.462;6.478;254;14%;
Qua;15/fev;Região IV;A;3;203.032;2.775;7.366;262;14%;
Qui;16/fev;Região IV;A;3;167.502;2.457;6.023;227;15%;
Sex;17/fev;Região IV;A;3;108.198;2.057;4.018;173;13%;
Sáb;18/fev;Região IV;A;3;134.877;1.919;4.757;173;14%;
Dom;19/fev;Região IV;A;3;105.557;1.579;3.535;150;16%;
Seg;20/fev;Região IV;A;3;162.027;2.671;5.628;208;16%;
Ter;21/fev;Região IV;A;3;145.694;2.440;5.121;212;14%;
Qua;22/fev;Região IV;A;3;190.654;2.650;6.346;258;14%;
Qui;23/fev;Região IV;A;3;121.825;2.111;4.421;193;12%;
Sex;24/fev;Região IV;A;3;148.902;2.178;4.295;181;14%;
Sáb;25/fev;Região IV;A;3;92.931;1.328;2.870;123;11%;
Dom;26/fev;Região IV;A;3;67.679;822;2.024;81;15%;
Seg;27/fev;Região IV;A;3;155.065;1.831;3.829;158;14%;
Ter;28/fev;Região IV;A;3;104.510;1.550;3.530;146;14%;
Qua;01/mar;Região IV;A;3;147.891;2.250;4.281;166;14%;
Qui;02/mar;Região IV;A;3;147.670;2.193;5.144;216;15%;
Sex;03/mar;Região IV;A;3;155.716;2.043;4.466;169;15%;
Sáb;04/mar;Região IV;A;3;144.196;2.040;4.410;177;14%;
Dom;05/mar;Região IV;A;3;140.572;2.009;4.385;189;16%;
Seg;06/mar;Região IV;A;3;107.538;1.831;4.146;185;15%;
Ter;07/mar;Região IV;A;3;121.697;1.869;4.482;185;14%;
Qua;08/mar;Região IV;A;3;142.170;1.959;4.109;189;13%;
Qui;09/mar;Região IV;A;3;143.854;1.788;4.234;181;13%;
Sex;10/mar;Região IV;A;3;128.008;1.723;4.489;185;16%;
Sáb;11/mar;Região IV;A;3;165.323;2.124;4.678;185;15%;
Dom;12/mar;Região IV;A;3;109.106;1.952;3.951;169;16%;
Seg;13/mar;Região IV;A;3;177.117;2.852;5.862;243;13%;
Qui;05/jan;Região V;A;3;95.362;2.479;5.626;146;15%;
Sex;06/jan;Região V;A;3;124.200;3.852;7.497;212;14%;
Sáb;07/jan;Região V;A;3;165.702;4.240;8.428;250;13%;
Dom;08/jan;Região V;A;3;139.127;3.939;8.054;227;14%;
Seg;09/jan;Região V;A;3;121.515;3.189;6.389;169;13%;
Ter;10/jan;Região V;A;3;144.080;3.626;7.963;223;14%;
Qua;11/jan;Região V;A;3;180.357;4.641;8.404;266;14%;
Qui;12/jan;Região V;A;3;139.193;3.543;6.452;204;14%;
Sex;13/jan;Região V;A;3;123.144;3.415;7.216;200;13%;
Sáb;14/jan;Região V;A;3;100.303;3.203;6.377;177;13%;
Dom;15/jan;Região V;A;3;170.092;4.890;9.753;262;14%;
Seg;16/jan;Região V;A;3;119.719;3.163;6.895;189;12%;
Ter;17/jan;Região V;A;3;135.679;3.682;7.146;204;17%;
Qua;18/jan;Região V;A;3;129.988;3.484;6.986;212;14%;
Qui;19/jan;Região V;A;3;135.112;3.412;6.296;185;13%;
Sex;20/jan;Região V;A;3;137.699;3.912;6.922;212;13%;
Sáb;21/jan;Região V;A;3;109.251;2.510;5.034;135;7%;
Dom;22/jan;Região V;A;3;59.161;1.556;2.699;85;8%;
Seg;23/jan;Região V;A;3;106.348;3.034;5.237;150;10%;
Ter;24/jan;Região V;A;3;148.087;4.207;7.663;231;9%;
Qua;25/jan;Região V;A;3;109.682;3.149;5.570;177;14%;
Qui;26/jan;Região V;A;3;141.673;4.043;7.617;223;10%;
Sex;27/jan;Região V;A;3;96.106;2.516;5.347;146;9%;
Sáb;28/jan;Região V;A;3;126.369;3.237;5.782;169;12%;
Dom;29/jan;Região V;A;3;75.175;2.108;4.233;123;7%;
Seg;30/jan;Região V;A;3;115.809;3.285;7.033;189;10%;
Ter;31/jan;Região V;A;3;183.897;4.844;9.013;273;8%;
Qua;01/fev;Região V;A;3;190.850;4.711;9.394;273;10%;
Qui;02/fev;Região V;A;3;129.143;3.418;6.304;189;8%;
Sex;03/fev;Região V;A;3;92.866;2.257;4.404;123;10%;
Sáb;04/fev;Região V;A;3;110.517;3.491;6.973;196;8%;
Dom;05/fev;Região V;A;3;77.944;2.439;5.361;146;9%;
Seg;06/fev;Região V;A;3;120.355;3.702;6.705;196;11%;
Ter;07/fev;Região V;A;3;119.599;3.804;6.970;208;10%;
Qua;08/fev;Região V;A;3;128.656;3.577;6.650;196;12%;
Qui;09/fev;Região V;A;3;141.951;4.855;8.151;227;11%;
Sex;10/fev;Região V;A;3;112.060;3.269;5.601;177;13%;
Sáb;11/fev;Região V;A;3;100.675;2.566;4.792;131;14%;
Dom;12/fev;Região V;A;3;76.290;2.293;4.444;123;13%;
Seg;13/fev;Região V;A;3;158.063;4.585;8.021;239;14%;
Ter;14/fev;Região V;A;3;134.280;3.978;7.513;216;15%;
Qua;15/fev;Região V;A;3;148.021;4.819;7.215;223;12%;
Qui;16/fev;Região V;A;3;85.668;2.539;4.582;123;18%;
Sex;17/fev;Região V;A;3;74.887;2.590;5.070;139;13%;
Sáb;18/fev;Região V;A;3;66.555;2.078;3.802;112;15%;
Dom;19/fev;Região V;A;3;100.343;2.756;4.240;135;16%;
Seg;20/fev;Região V;A;3;126.718;4.079;7.437;196;16%;
Ter;21/fev;Região V;A;3;137.880;4.238;8.005;223;14%;
Qua;22/fev;Região V;A;3;127.223;3.356;5.711;173;15%;
Qui;23/fev;Região V;A;3;125.298;3.450;5.790;193;15%;
Sex;24/fev;Região V;A;3;104.021;2.429;4.461;127;16%;
Sáb;25/fev;Região V;A;3;56.881;1.523;2.742;73;12%;
Dom;26/fev;Região V;A;3;91.147;1.499;3.087;77;12%;
Seg;27/fev;Região V;A;3;93.424;2.325;3.816;104;13%;
Ter;28/fev;Região V;A;3;83.587;1.829;4.376;108;16%;
Qua;01/mar;Região V;A;3;101.857;2.283;3.809;119;13%;
Qui;02/mar;Região V;A;3;114.107;2.837;5.284;150;12%;
Sex;03/mar;Região V;A;3;138.296;3.412;7.444;193;15%;
Sáb;04/mar;Região V;A;3;107.242;2.375;4.355;131;15%;
Dom;05/mar;Região V;A;3;88.110;2.168;3.648;112;15%;
Seg;06/mar;Região V;A;3;70.460;2.250;3.996;119;14%;
Ter;07/mar;Região V;A;3;145.144;3.993;6.367;208;14%;
Qua;08/mar;Região V;A;3;133.432;3.296;6.538;189;11%;
Qui;09/mar;Região V;A;3;112.097;3.089;5.515;169;11%;
Sex;10/mar;Região V;A;3;128.509;2.900;5.312;154;14%;
Sáb;11/mar;Região V;A;3;76.302;2.408;4.310;127;12%;
Dom;12/mar;Região V;A;3;102.008;2.465;4.587;135;14%;
Seg;13/mar;Região V;A;3;107.080;3.420;6.895;181;11%;
Qui;05/jan;região I;B;1;85.823;1.625;6.203;58;11%;
Sex;06/jan;região I;B;1;55.858;1.708;4.725;39;8%;
Sáb;07/jan;região I;B;1;161.984;2.873;12.431;112;-6%;
Dom;08/jan;região I;B;1;237.862;4.438;20.873;185;-5%;
Seg;09/jan;região I;B;1;472.384;9.692;54.176;397;-1%;
Ter;10/jan;região I;B;1;327.721;6.877;39.366;296;-4%;
Qua;11/jan;região I;B;1;401.853;8.505;41.497;331;-2%;
Qui;12/jan;região I;B;1;413.737;8.345;46.254;347;-2%;
Sex;13/jan;região I;B;1;88.934;1.534;8.377;62;2%;
Sáb;14/jan;região I;B;1;93.357;1.268;7.929;58;5%;
Dom;15/jan;região I;B;1;96.219;1.454;8.639;65;5%;
Seg;16/jan;região I;B;1;233.859;4.144;30.244;181;-3%;
Ter;17/jan;região I;B;1;510.937;10.078;46.149;420;-4%;
Qua;18/jan;região I;B;1;341.893;7.355;43.618;289;-5%;
Qui;19/jan;região I;B;1;328.560;6.066;40.161;239;-5%;
Sex;20/jan;região I;B;1;293.571;5.992;27.803;223;-7%;
Sáb;21/jan;região I;B;1;246.366;4.926;30.444;181;-2%;
Dom;22/jan;região I;B;1;232.805;4.200;21.139;154;-7%;
Seg;23/jan;região I;B;1;272.736;6.329;24.012;193;-3%;
Ter;24/jan;região I;B;1;158.464;2.923;14.336;119;-2%;
Qua;25/jan;região I;B;1;281.110;5.236;26.163;204;-4%;
Qui;26/jan;região I;B;1;228.277;4.643;22.419;173;-6%;
Sex;27/jan;região I;B;1;324.586;5.120;27.757;223;-5%;
Sáb;28/jan;região I;B;1;137.965;3.235;12.751;100;-3%;
Dom;29/jan;região I;B;1;163.952;2.428;28.822;104;-4%;
Seg;30/jan;região I;B;1;363.051;5.918;35.472;246;-5%;
Ter;31/jan;região I;B;1;287.741;5.020;20.617;173;-2%;
Qua;01/fev;região I;B;1;290.235;5.063;25.392;208;-5%;
Qui;02/fev;região I;B;1;245.438;4.755;22.551;181;-5%;
Sex;03/fev;região I;B;1;180.203;3.172;18.682;135;-4%;
Sáb;04/fev;região I;B;1;10.960;280;1.474;12;1%;
Dom;05/fev;região I;B;1;4.401;87;341;4;16%;
Seg;06/fev;região I;B;1;23.495;430;2.209;19;9%;
Ter;07/fev;região I;B;1;11.530;175;865;8;-7%;
Qua;08/fev;região I;B;1;24.825;293;8.661;12;20%;
Qui;09/fev;região I;B;1;39.416;559;3.060;23;16%;
Sex;10/fev;região I;B;1;0;0;0;0;0%;
Sáb;11/fev;região I;B;1;24.081;363;2.319;19;5%;
Dom;12/fev;região I;B;1;10.179;87;1.454;4;6%;
Seg;13/fev;região I;B;1;17.609;871;1.920;15;9%;
Ter;14/fev;região I;B;1;32.614;449;1.609;15;20%;
Qua;15/fev;região I;B;1;24.642;365;1.754;15;3%;
Qui;16/fev;região I;B;1;50.991;625;3.129;31;12%;
Sex;17/fev;região I;B;1;27.208;295;1.488;15;18%;
Sáb;18/fev;região I;B;1;6.858;152;748;8;11%;
Dom;19/fev;região I;B;1;34.917;461;2.429;19;10%;
Seg;20/fev;região I;B;1;39.062;486;2.429;23;15%;
Ter;21/fev;região I;B;1;39.401;484;2.735;23;13%;
Qua;22/fev;região I;B;1;81.008;1.282;7.968;50;12%;
Qui;23/fev;região I;B;1;42.652;659;3.479;27;16%;
Sex;24/fev;região I;B;1;11.022;152;867;8;16%;
Sáb;25/fev;região I;B;1;3.149;140;425;4;19%;
Dom;26/fev;região I;B;1;6.515;154;734;4;17%;
Seg;27/fev;região I;B;1;8.566;128;539;4;6%;
Ter;28/fev;região I;B;1;18.328;223;1.910;12;19%;
Qua;01/mar;região I;B;1;27.474;1.047;2.499;23;14%;
Qui;02/mar;região I;B;1;50.085;1.094;5.345;50;12%;
Sex;03/mar;região I;B;1;97.008;2.576;11.939;112;8%;
Sáb;04/mar;região I;B;1;77.323;2.320;10.753;92;17%;
Dom;05/mar;região I;B;1;55.193;1.872;7.764;73;13%;
Seg;06/mar;região I;B;1;116.954;3.373;14.302;139;13%;
Ter;07/mar;região I;B;1;208.781;5.579;23.077;223;15%;
Qua;08/mar;região I;B;1;218.096;5.974;27.740;235;16%;
Qui;09/mar;região I;B;1;189.508;4.739;21.138;193;17%;
Sex;10/mar;região I;B;1;153.105;2.966;14.204;139;15%;
Sáb;11/mar;região I;B;1;119.166;3.260;17.164;127;18%;
Dom;12/mar;região I;B;1;119.568;2.822;14.050;123;16%;
Seg;13/mar;região I;B;1;178.668;4.129;22.593;173;18%;
Qui;05/jan;Região II;B;1;31.817;1.069;4.727;15;9%;
Sex;06/jan;Região II;B;1;0;0;0;0;0%;
Sáb;07/jan;Região II;B;1;54.964;1.774;6.776;35;-18%;
Dom;08/jan;Região II;B;1;46.837;1.780;5.381;35;-23%;
Seg;09/jan;Região II;B;1;45.537;1.967;8.471;39;-3%;
Ter;10/jan;Região II;B;1;39.493;1.722;6.118;31;-10%;
Qua;11/jan;Região II;B;1;48.544;1.780;7.168;35;-11%;
Qui;12/jan;Região II;B;1;55.796;2.116;9.514;42;-6%;
Sex;13/jan;Região II;B;1;23.245;784;6.355;15;2%;
Sáb;14/jan;Região II;B;1;13.828;395;2.558;8;0%;
Dom;15/jan;Região II;B;1;9.943;392;2.082;8;5%;
Seg;16/jan;Região II;B;1;9.803;378;1.784;8;-8%;
Ter;17/jan;Região II;B;1;73.727;2.712;10.611;54;-11%;
Qua;18/jan;Região II;B;1;38.874;1.531;4.226;31;-26%;
Qui;19/jan;Região II;B;1;28.048;1.150;5.452;23;-6%;
Sex;20/jan;Região II;B;1;37.283;1.377;6.553;27;-3%;
Sáb;21/jan;Região II;B;1;29.078;982;4.176;19;-10%;
Dom;22/jan;Região II;B;1;41.668;1.360;4.500;27;-24%;
Seg;23/jan;Região II;B;1;32.379;1.176;6.872;23;-6%;
Ter;24/jan;Região II;B;1;40.390;1.724;5.144;35;-10%;
Qua;25/jan;Região II;B;1;29.728;1.497;4.861;23;-3%;
Qui;26/jan;Região II;B;1;27.678;982;4.906;19;-6%;
Sex;27/jan;Região II;B;1;28.800;982;8.300;19;-2%;
Sáb;28/jan;Região II;B;1;48.406;1.710;9.734;31;-16%;
Dom;29/jan;Região II;B;1;16.056;590;2.061;12;-10%;
Seg;30/jan;Região II;B;1;57.839;1.973;11.554;39;-11%;
Ter;31/jan;Região II;B;1;60.887;3.974;9.408;39;-15%;
Qua;01/fev;Região II;B;1;25.387;775;6.006;15;-12%;
Qui;02/fev;Região II;B;1;49.571;1.766;9.436;35;-8%;
Sex;03/fev;Região II;B;1;40.398;1.176;5.577;23;-13%;
Sáb;04/fev;Região II;B;1;0;0;0;0;0%;
Dom;05/fev;Região II;B;1;0;0;0;0;0%;
Seg;06/fev;Região II;B;1;0;0;0;0;0%;
Ter;07/fev;Região II;B;1;0;0;0;0;0%;
Qua;08/fev;Região II;B;1;0;0;0;0;0%;
Qui;09/fev;Região II;B;1;0;0;0;0;0%;
Sex;10/fev;Região II;B;1;0;0;0;0;0%;
Sáb;11/fev;Região II;B;1;4.341;196;437;4;-9%;
Dom;12/fev;Região II;B;1;7.837;392;1.131;8;18%;
Seg;13/fev;Região II;B;1;6.470;196;2.358;4;17%;
Ter;14/fev;Região II;B;1;0;0;0;0;0%;
Qua;15/fev;Região II;B;1;0;0;0;0;0%;
Qui;16/fev;Região II;B;1;0;0;0;0;0%;
Sex;17/fev;Região II;B;1;4.072;184;536;4;8%;
Sáb;18/fev;Região II;B;1;0;0;0;0;0%;
Dom;19/fev;Região II;B;1;0;0;0;0;0%;
Seg;20/fev;Região II;B;1;9.492;392;1.633;8;18%;
Ter;21/fev;Região II;B;1;0;0;0;0;0%;
Qua;22/fev;Região II;B;1;5.602;196;2.070;4;-3%;
Qui;23/fev;Região II;B;1;5.577;196;1.081;4;17%;
Sex;24/fev;Região II;B;1;5.518;196;1.342;4;1%;
Sáb;25/fev;Região II;B;1;7.037;380;1.123;8;19%;
Dom;26/fev;Região II;B;1;0;0;0;0;0%;
Seg;27/fev;Região II;B;1;0;0;0;0;0%;
Ter;28/fev;Região II;B;1;0;0;0;0;0%;
Qua;01/mar;Região II;B;1;14.069;562;2.083;12;18%;
Qui;02/mar;Região II;B;1;0;0;0;0;0%;
Sex;03/mar;Região II;B;1;13.349;565;1.548;12;21%;
Sáb;04/mar;Região II;B;1;1.905;182;560;4;21%;
Dom;05/mar;Região II;B;1;4.426;364;1.094;8;17%;
Seg;06/mar;Região II;B;1;12.779;560;2.880;12;28%;
Ter;07/mar;Região II;B;1;15.226;938;2.824;19;17%;
Qua;08/mar;Região II;B;1;11.687;551;1.914;12;22%;
Qui;09/mar;Região II;B;1;16.818;758;4.025;15;23%;
Sex;10/mar;Região II;B;1;10.868;560;2.548;12;21%;
Sáb;11/mar;Região II;B;1;12.044;378;2.126;8;23%;
Dom;12/mar;Região II;B;1;10.868;728;2.191;15;22%;
Seg;13/mar;Região II;B;1;17.843;1.111;2.885;23;21%;
Qui;05/jan;Região III;B;1;11.944;2.602;2.845;12;8%;
Sex;06/jan;Região III;B;1;0;0;0;0;0%;
Sáb;07/jan;Região III;B;1;13.444;339;1.420;8;0%;
Dom;08/jan;Região III;B;1;16.645;742;1.738;12;11%;
Seg;09/jan;Região III;B;1;6.442;280;1.282;8;4%;
Ter;10/jan;Região III;B;1;17.226;1.274;3.041;19;2%;
Qua;11/jan;Região III;B;1;16.385;1.308;3.198;15;-8%;
Qui;12/jan;Região III;B;1;15.545;2.168;2.601;12;-1%;
Sex;13/jan;Região III;B;1;0;0;0;0;0%;
Sáb;14/jan;Região III;B;1;0;0;0;0;0%;
Dom;15/jan;Região III;B;1;0;0;0;0;0%;
Seg;16/jan;Região III;B;1;35.768;2.450;4.868;27;0%;
Ter;17/jan;Região III;B;1;11.764;773;1.942;12;-1%;
Qua;18/jan;Região III;B;1;17.506;1.994;2.757;12;-12%;
Qui;19/jan;Região III;B;1;13.724;1.969;2.212;8;-15%;
Sex;20/jan;Região III;B;1;5.854;1.120;1.267;4;-3%;
Sáb;21/jan;Região III;B;1;10.924;826;1.293;8;3%;
Dom;22/jan;Região III;B;1;14.285;1.571;2.370;12;-12%;
Seg;23/jan;Região III;B;1;20.307;2.386;3.530;15;-12%;
Ter;24/jan;Região III;B;1;6.988;350;838;8;9%;
Qua;25/jan;Região III;B;1;6.862;1.042;1.681;8;-3%;
Qui;26/jan;Região III;B;1;0;0;0;0;0%;
Sex;27/jan;Região III;B;1;0;0;0;0;0%;
Sáb;28/jan;Região III;B;1;0;0;0;0;0%;
Dom;29/jan;Região III;B;1;6.442;493;558;4;-41%;
Seg;30/jan;Região III;B;1;5.042;168;838;4;10%;
Ter;31/jan;Região III;B;1;0;0;0;0;0%;
Qua;01/fev;Região III;B;1;3.221;140;532;4;4%;
Qui;02/fev;Região III;B;1;0;0;0;0;0%;
Sex;03/fev;Região III;B;1;0;0;0;0;0%;
Sáb;04/fev;Região III;B;1;0;0;0;0;0%;
Dom;05/fev;Região III;B;1;0;0;0;0;0%;
Seg;06/fev;Região III;B;1;3.528;672;760;4;-7%;
Ter;07/fev;Região III;B;1;6.582;154;760;4;-29%;
Qua;08/fev;Região III;B;1;0;0;0;0;0%;
Qui;09/fev;Região III;B;1;0;0;0;0;0%;
Sex;10/fev;Região III;B;1;0;0;0;0;0%;
Sáb;11/fev;Região III;B;1;3.526;168;590;4;17%;
Dom;12/fev;Região III;B;1;8.450;672;760;4;4%;
Seg;13/fev;Região III;B;1;0;0;0;0;0%;
Ter;14/fev;Região III;B;1;0;0;0;0;0%;
Qua;15/fev;Região III;B;1;5.577;1.215;1.141;4;17%;
Qui;16/fev;Região III;B;1;3.720;168;532;4;18%;
Sex;17/fev;Região III;B;1;2.274;140;426;4;18%;
Sáb;18/fev;Região III;B;1;0;0;0;0;0%;
Dom;19/fev;Região III;B;1;0;0;0;0;0%;
Seg;20/fev;Região III;B;1;2.274;140;426;4;18%;
Ter;21/fev;Região III;B;1;3.221;154;692;4;4%;
Qua;22/fev;Região III;B;1;0;0;0;0;0%;
Qui;23/fev;Região III;B;1;0;0;0;0;0%;
Sex;24/fev;Região III;B;1;0;0;0;0;0%;
Sáb;25/fev;Região III;B;1;0;0;0;0;0%;
Dom;26/fev;Região III;B;1;0;0;0;0;0%;
Seg;27/fev;Região III;B;1;0;0;0;0;0%;
Ter;28/fev;Região III;B;1;0;0;0;0;0%;
Qua;01/mar;Região III;B;1;0;0;0;0;0%;
Qui;02/mar;Região III;B;1;2.980;140;247;4;18%;
Sex;03/mar;Região III;B;1;3.207;986;1.115;4;27%;
Sáb;04/mar;Região III;B;1;0;0;0;0;0%;
Dom;05/mar;Região III;B;1;0;0;0;0;0%;
Seg;06/mar;Região III;B;1;0;0;0;0;0%;
Ter;07/mar;Região III;B;1;7.742;1.221;1.582;8;19%;
Qua;08/mar;Região III;B;1;3.218;588;806;4;24%;
Qui;09/mar;Região III;B;1;0;0;0;0;0%;
Sex;10/mar;Região III;B;1;3.361;1.280;1.285;4;20%;
Sáb;11/mar;Região III;B;1;0;0;0;0;0%;
Dom;12/mar;Região III;B;1;7.843;969;1.096;4;-2%;
Seg;13/mar;Região III;B;1;5.319;745;843;4;24%;
Qui;05/jan;Região IV;B;1;0;0;0;0;0%;
Sex;06/jan;Região IV;B;1;0;0;0;0;0%;
Sáb;07/jan;Região IV;B;1;0;0;0;0;0%;
Dom;08/jan;Região IV;B;1;0;0;0;0;0%;
Seg;09/jan;Região IV;B;1;0;0;0;0;0%;
Ter;10/jan;Região IV;B;1;2.555;519;287;4;-8%;
Qua;11/jan;Região IV;B;1;9.163;909;835;8;20%;
Qui;12/jan;Região IV;B;1;0;0;0;0;0%;
Sex;13/jan;Região IV;B;1;0;0;0;0;0%;
Sáb;14/jan;Região IV;B;1;0;0;0;0;0%;
Dom;15/jan;Região IV;B;1;15.551;2.005;1.545;12;10%;
Seg;16/jan;Região IV;B;1;12.428;1.625;1.348;12;6%;
Ter;17/jan;Região IV;B;1;6.531;312;288;4;-39%;
Qua;18/jan;Região IV;B;1;0;0;0;0;0%;
Qui;19/jan;Região IV;B;1;0;0;0;0;0%;
